ID,Order ID,Status,Project Name,Type,Token Name,Stage,From Address,Fund Address,Received Address,Transmit Address,Amount,Project Quota,Platform Quota,Created Time,Updated Time,Amount Float,Buy Amount,Project ID,Transaction Hash,Has Incribed,Page Num,Page Size,Price,Failure Description,Size,Handling Fee
561,de314c86-21b9-4851-ae38-c2ffbccb7d3c,distribute,FT001,FT,ckll,whitelist,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p0ghj44qfkpuular7vez8fqdz3armsw3z2n522g48c4uxgnprscrsd0ekze,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,2000,null,null,Fri Feb 23 15:30:50 CST 2024,Fri Feb 23 15:30:50 CST 2024,null,2,26,cb6c5c34ad094644d65b962ae63845630e30ccf17ad6f89eddc7d4be7ecaae63,uninscribed,null,null,null,null,null,null
560,d028d609-bfbd-4bbf-8e50-5140ac4f4470,failed,FT001,FT,ckll,whitelist,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p0ghj44qfkpuular7vez8fqdz3armsw3z2n522g48c4uxgnprscrsd0ekze,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,2000,null,null,Fri Feb 23 15:30:47 CST 2024,Fri Feb 23 15:30:47 CST 2024,null,2,26,eda77327eae87cd9f0b22dcb9412cfca4f38dca3ff74e890c11fc401cfe64719,uninscribed,null,null,null,null,null,null
557,46309419-e631-4ace-a1f2-3487db9544af,failed,FT001,FT,ckll,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p0ghj44qfkpuular7vez8fqdz3armsw3z2n522g48c4uxgnprscrsd0ekze,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,2000,null,null,Fri Feb 23 15:17:45 CST 2024,Fri Feb 23 15:17:45 CST 2024,null,1,26,a37ed887eeb9642ac9bfbc2980a80e8b3c0a12f97ee31dcff645d52c9e625d7e,uninscribed,null,null,null,null,null,null
556,c821db2e-1bdc-46a7-8ce2-74a989e050e0,distribute,FT001,FT,ckll,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p0ghj44qfkpuular7vez8fqdz3armsw3z2n522g48c4uxgnprscrsd0ekze,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,2000,null,null,Fri Feb 23 15:17:42 CST 2024,Fri Feb 23 15:17:42 CST 2024,null,1,26,6581ef3016af2b72413257e08b2d54eb0ee986dd8c957b8356f5b48a93c3e218,uninscribed,null,null,null,null,null,null
547,1822e989-2d24-419f-81c0-f795947a767c,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1qf46ukxxcxhn8hz2qlyaxmczeyxukwsm8vdttjl,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qf46ukxxcxhn8hz2qlyaxmczeyxukwsm8vdttjl,,1210,null,null,Thu Feb 22 13:54:49 CST 2024,Thu Feb 22 13:54:49 CST 2024,null,100,34,a737f9d14f9b3c3d24b1a6d7f21f66a08dd70f2c87e7ff04da16423a888b9449,inscribed,null,null,null,null,null,null
546,e93f392d-b75f-42c6-b017-a2a0e5f8a41e,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1p57y6c08hkft44lfvevj2nn8t0m8d5sqkfsxtpjul9s0f33928mwsjus2rk,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1p57y6c08hkft44lfvevj2nn8t0m8d5sqkfsxtpjul9s0f33928mwsjus2rk,,1210,null,null,Thu Feb 22 11:20:19 CST 2024,Thu Feb 22 11:20:19 CST 2024,null,200,34,825fb3ec655abbdc47cd337b1f2b42f30130ff1d0dc697333c0727329f2565ac,inscribed,null,null,null,null,null,null
545,75bcd481-4fd2-4594-9823-0088aea42518,completed,NFT005,NFT,nft05,whitelist,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,1200,null,null,Wed Feb 21 16:16:44 CST 2024,Wed Feb 21 16:16:44 CST 2024,null,1,5,934aa37af1604f7d2216a5c092900ef40f3beff80a7df9fdc577774592ee550d,uninscribed,null,null,null,null,null,null
544,d75ddc71-0305-47ea-83e3-ae371125f50e,failed,NFT004,NFT,nft04,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p6v6duc4jllchezh5z5ftxza6s2kcs3x3tge6hny8a3kdyy4r9daquj474x,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,1300,null,null,Tue Feb 20 16:04:49 CST 2024,Tue Feb 20 16:05:04 CST 2024,null,1,4,13f1c14ad5da21fd5cc1aa904c72608b8eb0abdcd56eb2966b21a9f959695d0b,uninscribed,null,null,null,null,null,null
543,b5b1c84e-e45b-4820-8399-3762966542a2,completed,NFT004,NFT,nft04,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p6v6duc4jllchezh5z5ftxza6s2kcs3x3tge6hny8a3kdyy4r9daquj474x,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,1300,null,null,Tue Feb 20 16:04:35 CST 2024,Tue Feb 20 16:04:35 CST 2024,null,1,4,ebb0cc32959e9345a4b2ddb23446eabd6f53c26bd203f5b6391e482128805a27,uninscribed,null,null,null,null,null,null
542,707b3f45-3e3d-4338-93c8-978ea5535220,failed,NFT004,NFT,nft04,public,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,tb1p6v6duc4jllchezh5z5ftxza6s2kcs3x3tge6hny8a3kdyy4r9daquj474x,tb1q8gfj63cgvh8dqltp0kmpzghnx7sxz349q58hkn,,1300,null,null,Tue Feb 20 16:04:31 CST 2024,Tue Feb 20 16:05:03 CST 2024,null,1,4,247cbba740ab1a3a5146ff5aad335046868572d101bd9a1ab639fd8f86734361,uninscribed,null,null,null,null,null,null
